1,George Washington,Virginia,1789,1732,Federalist
2,John Adams,Massachusetts,1797,1735,Federalist
3,Thomas Jefferson,Virginia,1801,1743,Democratic-Republican
4,James Madison,Virginia,1809,1751,Democratic-Republican
5,James Monroe,Virginia,1817,1758,Democratic-Republican
6,John Quincy Adams,Massachusetts,1825,1767,Democratic-Republican
7,Andrew Jackson,South Carolina,1829,1767,Democratic-Republican
8,Martin Van Buren,New York,1837,1782,Democratic
9,William Henry Harrison,Virginia,1841,1773,Whig
10,John Tyler,Virginia,1841,1790,Whig
11,James Knox Polk,North Carolina,1845,1795,Democratic
12,Zachary Taylor,Virginia,1849,1784,Whig
13,Millard Fillmore,New York,1850,1800,Whig
14,Franklin Pierce,New Hampshire,1853,1804,Democratic
15,James Buchanan,Pennsylvania,1857,1791,Democratic
16,Abraham Lincoln,Kentucky,1861,1809,Republican
17,Andrew Johnson,North Carolina,1865,1808,Democratic
18,Ulysses Simpson Grant,Ohio,1869,1822,Republican
19,Rutherford Birchard Hayes,Ohio,1877,1822,Republican
20,James Abram Garfield,Ohio,1881,1831,Republican
21,Chester Alan Arthur,Vermont,1881,1829,Republican
22,Grover Cleveland,New Jersey,1885,1837,Democratic
23,Benjamin Harrison,Ohio,1889,1833,Republican
24,Grover Cleveland,New Jersey,1893,1837,Democratic
25,William McKinley,Ohio,1897,1843,Republican
26,Theodore Roosevelt,New York,1901,1858,Republican
27,William Howard Taft,Ohio,1909,1857,Republican
28,Thomas Woodrow Wilson,Virginia,1913,1856,Democratic
29,Warren Gamaliel Harding,Ohio,1921,1865,Republican
30,John Calvin Coolidge,Vermont,1923,1872,Republican
31,Herbert Clark Hoover,Iowa,1929,1874,Republican
32,Franklin Delano Roosevelt,New York,1933,1882,Democratic
33,Harry S. Truman,Missouri,1945,1884,Democratic
34,Dwight David Eisenhower,Texas,1953,1890,Republican
35,John Fitzgerald Kennedy,Massachusetts,1961,1917,Democratic
36,Lyndon Baines Johnson,Texas,1963,1908,Democratic
37,Richard Milhous Nixon,California,1969,1913,Republican
38,Gerald Rudolph Ford Jr.,Nebraska,1974,1913,Republican
39,James Earl Carter,Georgia,1977,1924,Democratic
40,Ronald Wilson Reagan,Illinois,1981,1911,Republican
41,George  Bush,Massachusetts,1989,1924,Republican
42,Bill Clinton,Arkansas,1993,1946,Democratic
43,George Walker Bush,Connecticut,2001,1946,Republican
44,Barack Hussein Obama,Hawaii,2009,1961,Democratic
45,Donald John Trump,New York,2017,1946,Republican
46,Joseph Robinette Biden,Pennsylvania,2021,1942,Democratic
